feature,beta_std,se,t,p,sig
deep_research_rr_ratio,0.0028684927745920995,0.01096248685559736,0.26166442089072783,0.7960143892181897,
drop_percent,-0.021209972814067245,0.009975416229405839,-2.1262243425536305,0.04494691650320837,  ✓
Rank,-0.08520560574624626,0.04150090117374211,-2.0531025432323964,0.052142053452088666,
quant_score,-0.08143385856639623,0.036430560921169114,-2.235317176219391,0.035868677412934424,  ✓
sa_score,0.003924411465619918,0.010887111075972391,0.36046398702416155,0.7219380248484848,
ws_score,0.028495986654359116,0.01002925934448307,2.8412852510424202,0.009499668783097936,  ✓
perf_6m,-0.008925813520150573,0.01276682900513136,-0.6991409939432125,0.4917900671465878,
deep_research_verdict_BUY,-0.020604635407806975,0.03332735728691311,-0.6182499029377868,0.5427589327193436,
deep_research_verdict_BUY_LIMIT,0.0030259345042173017,0.024350312200799838,0.12426676419031328,0.9022324950963347,
deep_research_verdict_None,0.0,0.0,,,
deep_research_verdict_WATCH,-0.00015645473146296262,0.06682187727291283,-0.0023413698903425404,0.9981529604011301,
