symbol,decision_date,intent,rr,entry,exit_reason,exit_day,exit_return,gross_eur,net_eur
TEAM,2026-04-09,ENTER_NOW,2.8,58.5,TP,5,0.21,157.5,151.5
DOCN,2026-04-10,ENTER_LIMIT,2.11,75.59,TP,5,0.21,157.5,151.5
ADSK,2026-04-09,ENTER_NOW,2.3,218.6,TIMEOUT,5,0.11235134337652965,84.26350753239724,78.26350753239724
GWRE,2026-04-09,ENTER_LIMIT,1.55,125.795,TIMEOUT,5,0.1058468191132522,79.38511433493915,73.38511433493915
NICE,2026-04-11,ENTER_NOW,3.07,97.0,TIMEOUT,5,0.08793813174532861,65.95359880899646,59.95359880899646
NOW,2026-04-09,ENTER_NOW,2.3,89.735,TIMEOUT,5,0.07472003612198418,56.040027091488135,50.040027091488135
REGN,2026-04-29,ENTER_NOW,2.35,686.265,TIMEOUT,5,0.05068739888085326,38.01554916063994,32.01554916063994
CLX,2026-05-01,ENTER_LIMIT,1.86,87.805,TIMEOUT,5,0.049598583931545676,37.19893794865926,31.198937948659257
JLL,2026-04-30,ENTER_NOW,1.75,313.78,TIMEOUT,5,0.045509584927636494,34.13218869572737,28.132188695727372
WTW,2026-04-30,ENTER_NOW,2.24,248.99,TIMEOUT,5,0.03646735742085522,27.350518065641413,21.350518065641413
PPERF,2026-04-11,ENTER_NOW,2.2,0.26,TIMEOUT,5,-3.667978143440109e-08,-2.750983607580082e-05,-6.000027509836076
LBRDP,2026-04-24,ENTER_NOW,4.0,21.965,TIMEOUT,5,-0.0029592707247769823,-2.2194530435827367,-8.219453043582737
NMR,2026-04-24,ENTER_NOW,2.0,7.835,TIMEOUT,5,-0.003190817769043899,-2.3931133267829243,-8.393113326782924
DPZ,2026-04-27,ENTER_NOW,1.96,333.4501,TIMEOUT,5,-0.009087076513894118,-6.815307385420589,-12.815307385420589
CAH,2026-04-30,ENTER_NOW,1.63,188.3,TIMEOUT,5,-0.016038243338837684,-12.028682504128263,-18.028682504128263
ZBH,2026-04-28,ENTER_NOW,2.16,86.05,TIMEOUT,5,-0.03532827267599684,-26.496204506997632,-32.49620450699763
ALLE,2026-04-28,ENTER_NOW,2.0,137.33,TIMEOUT,5,-0.03669996878953761,-27.524976592153205,-33.52497659215321
IAG,2026-04-21,ENTER_NOW,2.33,17.18,TIMEOUT,5,-0.04016299353212082,-30.122245149090617,-36.12224514909062
