horizon,intent,n,win_rate,avg_return
1w,AVOID,154,0.5324675324675324,0.018179664439259845
1w,NEUTRAL,55,0.509090909090909,0.012411428297849296
1w,ENTER_NOW,32,0.5625,0.03278378911948522
1w,ENTER_LIMIT,27,0.5555555555555556,0.018195886452355814
2w,AVOID,113,0.49557522123893805,0.008461232524519234
2w,NEUTRAL,35,0.6857142857142857,0.03938253053027313
2w,ENTER_LIMIT,16,0.5,0.03463363896847685
2w,ENTER_NOW,16,0.75,0.05177880561880174
4w,AVOID,17,0.5882352941176471,0.10894349119973061
4w,ENTER_NOW,8,1.0,0.22079469957049563
4w,NEUTRAL,8,0.625,0.13798605356019839
4w,ENTER_LIMIT,4,1.0,0.3701339547043051
