id,date,candidate_symbols,status,completed_at,timestamp
1,2026-04-09,"ADSK,GWRE,IOT,NOW",COMPLETED,2026-04-16 00:54:16,2026-04-16 00:50:30
2,2026-04-24,"IBM,IQV,NMR,VRSN",COMPLETED,2026-04-24 14:56:58,2026-04-24 14:44:52
3,2026-04-28,"AWI,PNR,SFD,ZBH",COMPLETED,2026-04-28 15:21:19,2026-04-28 15:08:40
4,2026-04-29,"CRS,GIB,REGN,SOFI",COMPLETED,2026-04-29 16:57:10,2026-04-29 16:51:59
5,2026-04-30,"CAH,JLL,RRR,WTW",COMPLETED,2026-04-30 16:40:44,2026-04-30 16:36:08
6,2026-05-04,"BBVA,FDX,SNY,UPS",COMPLETED,2026-05-04 16:19:41,2026-05-04 16:16:04
7,2026-05-06,"ALC,ANET,CART,CE",COMPLETED,2026-05-06 15:37:44,2026-05-06 15:32:37
8,2026-05-06,"COR,CRC,GOLF,NICE",COMPLETED,2026-05-06 16:07:27,2026-05-06 16:02:38
9,2026-05-08,"EMBJ,EXPE,FIS,FLR",COMPLETED,2026-05-08 14:49:05,2026-05-08 14:24:08
10,2026-05-08,"APP,HUBS,MELI,TOST",COMPLETED,2026-05-08 15:08:10,2026-05-08 15:04:08
